id,name,category,utilityScore,shortDescription,description,priceLabel,activationLabel,image
evx-001,AI conversazionale,conversazione,10,"Dialoga naturalmente con clienti, prospect e richieste operative.","Permette a EasyVox di gestire conversazioni naturali, rispondere alle domande, qualificare bisogni, guidare l'utente e trasformare il dialogo in opportunita concrete per il business.","Incluso nel progetto","Attivazione su configurazione EasyVox",
evx-002,Presentazione prodotti e servizi,conversazione,9,"Presenta offerte, vantaggi, differenze e possibili utilizzi chiaramente.","Aiuta il cliente a comprendere prodotti e servizi, evidenzia vantaggi, differenze e casi d'uso, rendendo l'offerta piu chiara, comprensibile e convincente.","Incluso nel progetto","Attivazione su contenuti del cliente",
evx-003,Raccolta contatti,conversazione,10,"Raccoglie lead, dati utili e richieste commerciali qualificate.","Durante le interazioni acquisisce nome, email, telefono e richieste, trasformando ogni conversazione in un contatto organizzato, tracciabile e utile per il lavoro commerciale.","Incluso nel progetto","Configurabile in fase di setup",
evx-004,CRM interno EasyVox,crm-automazione,10,"Organizza contatti, storico conversazioni e opportunita nel CRM.","Centralizza lead, storico conversazioni, note e informazioni raccolte, permettendo all'azienda di gestire relazioni e opportunita dentro EasyVox senza dipendere da strumenti esterni.","Incluso nel progetto","Disponibile su istanza EasyVox",
evx-005,Memoria cliente,conversazione,10,"Ricorda richieste, preferenze e contesto del cliente sempre.","Consente al sistema di ricordare richieste precedenti, interessi e preferenze, offrendo conversazioni piu personalizzate, rapide, coerenti e utili lungo tutta la relazione.","Incluso nel progetto","Configurazione memoria cliente",
evx-006,Automazione email,crm-automazione,8,"Invia email automatiche, conferme e follow-up commerciali utili.","Attiva comunicazioni automatiche come conferme, follow-up e invii informativi, riducendo attivita manuali e migliorando continuita nella relazione col cliente.","Incluso nel progetto","Richiede configurazione operativa",
evx-007,Automazione processi,crm-automazione,9,"Smista richieste, notifiche e passaggi operativi automaticamente interni.","Aiuta a coordinare processi interni, smistare richieste, generare notifiche e supportare attivita ripetitive, collegando conversazioni e operativita aziendale in modo strutturato.","Incluso nel progetto","Configurazione su flussi del cliente",
evx-008,Addestramento dedicato AI,crm-automazione,10,"Addestra l'AI su contenuti, tono e logiche aziendali.","Personalizza EasyVox sui materiali del cliente, come servizi, prodotti, FAQ e tono comunicativo, per ottenere risposte coerenti, pertinenti e affidabili nel business reale.","Da EUR 1000 a EUR 3000","Soft, medium o enterprise",
evx-009,Chat embeddabile,infrastruttura,8,"Integra EasyVox dentro siti, e-commerce e portali digitali.","Permette di inserire EasyVox all'interno di siti web, e-commerce e portali, portando l'esperienza conversazionale direttamente nei canali digitali gia esistenti del cliente.","Incluso nel progetto","Integrazione su sito o portale",
evx-010,Installazione su istanza EasyVox,infrastruttura,8,"Usa infrastruttura EasyVox con gestione tecnica centralizzata completa.","Consente di utilizzare EasyVox su infrastruttura gestita, semplificando avvio, manutenzione e operativita per il cliente senza gestione server diretta.","EasyVox Machine: EUR 100/mese","Istanza EasyVox gestita",
evx-011,Installazione in locale,infrastruttura,8,"Installa EasyVox localmente con maggiore controllo infrastrutturale dedicato.","Permette al cliente di eseguire EasyVox su server propri, mantenendo maggiore controllo tecnico e richiedendo hardware adeguato, soprattutto molta RAM disponibile per uso interno.","Su valutazione tecnica","Richiede macchina del cliente",
evx-012,Server dedicato con dominio,infrastruttura,9,"Fornisce server stabile, dominio dedicato e continuita operativa.","Garantisce una base infrastrutturale dedicata per far funzionare EasyVox in modo stabile, ordinato e coerente con il progetto cliente, con continuita tecnica.","EUR 180/mese","Server dedicato EasyVox",
evx-013,Setup iniziale Start & Go,infrastruttura,9,"Configura ambiente, attivazione e primo assetto operativo iniziale.","Comprende la fase di avvio del progetto, con configurazione ambiente, attivazione sistema e preparazione del primo utilizzo operativo per partire subito.","EUR 1500 una tantum","Avvio iniziale del progetto",
evx-014,Customizzazione su richiesta,infrastruttura,7,"Personalizza funzioni, flussi e logiche in modo dedicato.","Permette di sviluppare adattamenti specifici, flussi personalizzati e funzionalita dedicate, in base alle esigenze operative e commerciali del cliente finale.","Su richiesta","Definita sul progetto",
